Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
36,CREDIT,UPI,5710211115,Vikram Singh,ACC_RETAIL_003,Rajesh Bansal,24133.98,2024-01-05,09:29:41,479609.26,500000.0,Personal Loan,0.0
187,DEBIT,NEFT,ACC_RETAIL_003,Rajesh Bansal,2239534867,Kavya Mishra,34159.14,2024-01-06,12:30:32,711121.81,500000.0,Personal Loan,0.0
8,CREDIT,IMPS,5710211115,Vikram Singh,ACC_RETAIL_003,Rajesh Bansal,35175.79,2024-01-07,16:03:27,454416.92,500000.0,Personal Loan,0.0
102,CREDIT,Bank Transfer,1619623590,Rajesh Mishra,ACC_RETAIL_003,Rajesh Bansal,2128.64,2024-01-07,07:32:32,548331.98,500000.0,Personal Loan,0.0
142,DEBIT,Cheque,ACC_RETAIL_003,Rajesh Bansal,7656585531,Zara Jain,40604.2,2024-01-07,12:29:27,443489.44,500000.0,Personal Loan,0.0
52,CREDIT,UPI,1167134213,Saanvi Mishra,ACC_RETAIL_003,Rajesh Bansal,3916.45,2024-01-09,10:27:09,591616.07,500000.0,Personal Loan,0.0
180,CREDIT,Cheque,2239534867,Kavya Mishra,ACC_RETAIL_003,Rajesh Bansal,44760.66,2024-01-10,03:37:31,698135.7,500000.0,Personal Loan,0.0
73,DEBIT,UPI,ACC_RETAIL_003,Rajesh Bansal,5710211115,Vikram Singh,36366.94,2024-01-11,09:46:27,480166.48,500000.0,Personal Loan,0.0
51,DEBIT,NEFT,ACC_RETAIL_003,Rajesh Bansal,5895322075,Saanvi Iyer,21473.02,2024-01-13,19:42:11,587699.62,500000.0,Personal Loan,0.0
88,DEBIT,NEFT,ACC_RETAIL_003,Rajesh Bansal,5710211115,Vikram Singh,42205.96,2024-01-13,05:29:55,535034.22,500000.0,Personal Loan,0.0
174,DEBIT,NEFT,ACC_RETAIL_003,Rajesh Bansal,1167134213,Saanvi Mishra,21004.14,2024-01-14,23:04:10,673568.31,500000.0,Personal Loan,0.0
186,CREDIT,Bank Transfer,1167134213,Saanvi Mishra,ACC_RETAIL_003,Rajesh Bansal,553.77,2024-01-14,04:49:53,745280.95,500000.0,Personal Loan,0.0
19,DEBIT,UPI,ACC_RETAIL_003,Rajesh Bansal,5895322075,Saanvi Iyer,14737.7,2024-01-15,12:36:38,388422.83,500000.0,Personal Loan,0.0
