Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
7,CREDIT,NEFT,8979273911,Ritika Chaudhary,DORMANT_001,Nisha Bose,21077.89,2024-01-08,00:00:00,77451.72,500000.0,Personal Loan,0.0
4,CREDIT,RTGS,7896382125,Aditya Verma,DORMANT_001,Nisha Bose,5872.72,2024-01-09,00:00:00,113808.31,500000.0,Personal Loan,0.0
6,DEBIT,RTGS,DORMANT_001,Nisha Bose,8979273911,Ritika Chaudhary,35512.96,2024-01-09,00:00:00,56373.83,500000.0,Personal Loan,0.0
2,DEBIT,Bank Transfer,DORMANT_001,Nisha Bose,4610947195,Priya Jain,34031.01,2024-01-11,00:00:00,116863.68,500000.0,Personal Loan,0.0
3,DEBIT,NEFT,DORMANT_001,Nisha Bose,8712828384,Varun Bose,8928.09,2024-01-11,00:00:00,107935.59,500000.0,Personal Loan,0.0
5,DEBIT,IMPS,DORMANT_001,Nisha Bose,8979273911,Ritika Chaudhary,21921.52,2024-01-14,00:00:00,91886.79,500000.0,Personal Loan,0.0
1,CREDIT,RTGS,8712828384,Varun Bose,DORMANT_001,Nisha Bose,14502.41,2024-01-20,00:00:00,150894.69,500000.0,Personal Loan,0.0
8,CREDIT,Cheque,9779041827,Varun Chaudhary,DORMANT_001,Nisha Bose,411215.06,2024-04-29,16:00:00,488666.78,500000.0,Business Loan,0.0
9,CREDIT,IMPS,9779041827,Varun Chaudhary,DORMANT_001,Nisha Bose,360944.15,2024-04-30,18:00:00,849610.93,500000.0,Business Loan,0.0
10,CREDIT,RTGS,9779041827,Varun Chaudhary,DORMANT_001,Nisha Bose,323597.8,2024-05-01,10:00:00,1173208.73,500000.0,Business Loan,0.0
11,CREDIT,IMPS,4744675014,Aarav Kumar,DORMANT_001,Nisha Bose,167390.97,2024-05-02,17:00:00,1340599.7,500000.0,Business Loan,0.0
12,CREDIT,IMPS,6726435900,Aryan Joshi,DORMANT_001,Nisha Bose,370475.48,2024-05-03,03:00:00,1711075.18,500000.0,Business Loan,0.0
13,CREDIT,NEFT,4744675014,Aarav Kumar,DORMANT_001,Nisha Bose,152262.25,2024-05-04,03:00:00,1863337.43,500000.0,Business Loan,0.0
14,CREDIT,NEFT,6726435900,Aryan Joshi,DORMANT_001,Nisha Bose,435404.32,2024-05-05,16:00:00,2298741.75,500000.0,Business Loan,0.0
15,CREDIT,IMPS,4744675014,Aarav Kumar,DORMANT_001,Nisha Bose,172302.08,2024-05-06,17:00:00,2471043.83,500000.0,Business Loan,0.0
16,CREDIT,Bank Transfer,6726435900,Aryan Joshi,DORMANT_001,Nisha Bose,194868.24,2024-05-07,09:00:00,2665912.07,500000.0,Business Loan,0.0
17,CREDIT,Bank Transfer,9779041827,Varun Chaudhary,DORMANT_001,Nisha Bose,185688.78,2024-05-08,09:00:00,2851600.85,500000.0,Business Loan,0.0
18,CREDIT,NEFT,6726435900,Aryan Joshi,DORMANT_001,Nisha Bose,412285.09,2024-05-09,14:00:00,3263885.94,500000.0,Business Loan,0.0
19,CREDIT,NEFT,4744675014,Aarav Kumar,DORMANT_001,Nisha Bose,145525.9,2024-05-10,21:00:00,3409411.84,500000.0,Business Loan,0.0
20,CREDIT,UPI,9779041827,Varun Chaudhary,DORMANT_001,Nisha Bose,137074.42,2024-05-11,02:00:00,3546486.26,500000.0,Business Loan,0.0
21,CREDIT,Bank Transfer,6726435900,Aryan Joshi,DORMANT_001,Nisha Bose,237170.87,2024-05-12,19:00:00,3783657.13,500000.0,Business Loan,0.0
22,CREDIT,UPI,6726435900,Aryan Joshi,DORMANT_001,Nisha Bose,320314.74,2024-05-13,22:00:00,4103971.87,500000.0,Business Loan,0.0
