Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
108,DEBIT,Bank Transfer,LEGIT_HNI_001,Ritika Bose,8644311151,Sanjay Verma,42843.89,2024-01-06,04:59:10,3464684.13,500000.0,Personal Loan,0.0
49,DEBIT,Cheque,LEGIT_HNI_001,Ritika Bose,1970004816,Kiran Trivedi,78069.18,2024-01-07,17:28:06,4846339.34,500000.0,Personal Loan,0.0
96,DEBIT,RTGS,LEGIT_HNI_001,Ritika Bose,8644311151,Sanjay Verma,89042.87,2024-01-08,00:05:20,3820584.18,500000.0,Personal Loan,0.0
11,CREDIT,UPI,1970004816,Kiran Trivedi,LEGIT_HNI_001,Ritika Bose,28725.29,2024-01-09,05:09:18,5479963.11,500000.0,Personal Loan,0.0
12,CREDIT,Cheque,9826993893,Akash Verma,LEGIT_HNI_001,Ritika Bose,57075.14,2024-01-10,08:50:08,5537038.25,500000.0,Personal Loan,0.0
31,DEBIT,Cheque,LEGIT_HNI_001,Ritika Bose,6595603986,Zara Mehta,74401.5,2024-01-10,03:48:06,5396542.44,500000.0,Personal Loan,0.0
104,DEBIT,IMPS,LEGIT_HNI_001,Ritika Bose,9553862785,Zara Singh,50922.17,2024-01-11,10:33:12,3465185.92,500000.0,Personal Loan,0.0
14,DEBIT,NEFT,LEGIT_HNI_001,Ritika Bose,9826993893,Akash Verma,21312.04,2024-01-13,03:52:17,5513016.75,500000.0,Personal Loan,0.0
15,DEBIT,UPI,LEGIT_HNI_001,Ritika Bose,8644311151,Sanjay Verma,96101.85,2024-01-13,07:22:40,5416914.9,500000.0,Personal Loan,0.0
92,CREDIT,UPI,9553862785,Zara Singh,LEGIT_HNI_001,Ritika Bose,63510.82,2024-01-13,21:30:21,4087314.6,500000.0,Personal Loan,0.0
99,DEBIT,Cheque,LEGIT_HNI_001,Ritika Bose,6595603986,Zara Mehta,92001.48,2024-01-13,21:48:17,3664457.2,500000.0,Personal Loan,0.0
64,DEBIT,RTGS,LEGIT_HNI_001,Ritika Bose,9553862785,Zara Singh,107855.56,2024-01-14,03:58:54,4812825.22,500000.0,Personal Loan,0.0
26,DEBIT,IMPS,LEGIT_HNI_001,Ritika Bose,9826993893,Akash Verma,23836.44,2024-01-17,22:32:03,5201726.18,500000.0,Personal Loan,0.0
28,CREDIT,Cheque,8644311151,Sanjay Verma,LEGIT_HNI_001,Ritika Bose,33894.76,2024-01-19,05:25:58,5354048.01,500000.0,Personal Loan,0.0
56,CREDIT,IMPS,1970004816,Kiran Trivedi,LEGIT_HNI_001,Ritika Bose,81283.7,2024-01-19,13:56:34,4931139.68,500000.0,Personal Loan,0.0
