Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
21,DEBIT,NEFT,LOOP_ALPHA_01,Aditya Nair,2052811909,Priya Yadav,18159.04,2024-01-05,14:55:44,399245.86,500000.0,Personal Loan,0.0
59,CREDIT,RTGS,6737000272,Deepika Sharma,LOOP_ALPHA_01,Aditya Nair,22149.29,2024-01-06,09:39:21,226509.74,500000.0,Personal Loan,0.0
24,DEBIT,Bank Transfer,LOOP_ALPHA_01,Aditya Nair,2201840395,Priya Gupta,28874.37,2024-01-10,08:25:39,336920.8,500000.0,Personal Loan,0.0
1,CREDIT,UPI,7102562415,Ishaan Reddy,LOOP_ALPHA_01,Aditya Nair,201600.42,2024-01-14,00:00:00,418542.49,500000.0,Personal Loan,0.0
2,DEBIT,NEFT,LOOP_ALPHA_01,Aditya Nair,LOOP_BETA_02,Amit Kumar,194008.87,2024-01-14,02:00:00,224533.62,500000.0,Personal Loan,0.0
3,CREDIT,NEFT,LOOP_DELTA_04,Deepika Kapoor,LOOP_ALPHA_01,Aditya Nair,194008.87,2024-01-14,10:00:00,418542.49,500000.0,Personal Loan,0.0
32,CREDIT,IMPS,2407863065,Aarav Kumar,LOOP_ALPHA_01,Aditya Nair,2169.56,2024-01-16,09:02:14,297928.6,500000.0,Personal Loan,0.0
41,CREDIT,UPI,3057422183,Aarav Kumar,LOOP_ALPHA_01,Aditya Nair,15467.86,2024-01-16,10:11:10,264526.46,500000.0,Personal Loan,0.0
34,CREDIT,NEFT,3362751242,Deepika Joshi,LOOP_ALPHA_01,Aditya Nair,25783.44,2024-01-17,16:49:20,321292.47,500000.0,Personal Loan,0.0
29,CREDIT,UPI,1468034755,Mohan Kumar,LOOP_ALPHA_01,Aditya Nair,4947.24,2024-01-18,05:59:04,317233.13,500000.0,Personal Loan,0.0
9,DEBIT,Cheque,LOOP_ALPHA_01,Aditya Nair,4181102664,Aryan Joshi,18656.14,2024-01-20,00:27:40,450275.81,500000.0,Personal Loan,0.0
57,DEBIT,Cheque,LOOP_ALPHA_01,Aditya Nair,9318010743,Akash Chaudhary,17400.96,2024-01-23,12:03:26,215417.94,500000.0,Personal Loan,0.0
31,DEBIT,Cheque,LOOP_ALPHA_01,Aditya Nair,1515024824,Ravi Reddy,8685.23,2024-01-25,11:04:34,295759.04,500000.0,Personal Loan,0.0
18,DEBIT,Bank Transfer,LOOP_ALPHA_01,Aditya Nair,4873807154,Arjun Chaudhary,15559.19,2024-01-27,08:07:33,400435.26,500000.0,Personal Loan,0.0
55,DEBIT,Cheque,LOOP_ALPHA_01,Aditya Nair,2264942028,Kavya Sharma,22285.85,2024-01-27,00:03:55,220462.46,500000.0,Personal Loan,0.0
44,CREDIT,IMPS,6963052185,Priya Tiwari,LOOP_ALPHA_01,Aditya Nair,15569.4,2024-01-28,00:56:56,296987.14,500000.0,Personal Loan,0.0
23,DEBIT,RTGS,LOOP_ALPHA_01,Aditya Nair,2320748157,Varun Tiwari,22404.4,2024-01-31,19:17:23,365795.17,500000.0,Personal Loan,0.0
39,DEBIT,IMPS,LOOP_ALPHA_01,Aditya Nair,6037168610,Ishaan Chaudhary,20813.17,2024-02-01,06:48:50,275677.89,500000.0,Personal Loan,0.0
54,CREDIT,RTGS,8675071314,Ishaan Reddy,LOOP_ALPHA_01,Aditya Nair,6051.88,2024-02-02,21:26:34,242748.31,500000.0,Personal Loan,0.0
14,DEBIT,NEFT,LOOP_ALPHA_01,Aditya Nair,4104309491,Vikram Rao,8398.37,2024-02-03,18:31:32,444029.14,500000.0,Personal Loan,0.0
46,DEBIT,RTGS,LOOP_ALPHA_01,Aditya Nair,1685583357,Tanvi Pillai,17935.68,2024-02-05,23:54:56,280901.26,500000.0,Personal Loan,0.0
28,CREDIT,NEFT,6661014794,Zara Mehta,LOOP_ALPHA_01,Aditya Nair,22325.23,2024-02-08,08:30:19,312285.89,500000.0,Personal Loan,0.0
19,CREDIT,Bank Transfer,8923555411,Arjun Das,LOOP_ALPHA_01,Aditya Nair,28668.3,2024-02-15,03:08:42,429103.56,500000.0,Personal Loan,0.0
22,DEBIT,Cheque,LOOP_ALPHA_01,Aditya Nair,4767539382,Sanjay Nair,11046.29,2024-02-16,00:03:11,388199.57,500000.0,Personal Loan,0.0
47,DEBIT,RTGS,LOOP_ALPHA_01,Aditya Nair,8719734235,Arjun Chaudhary,24672.27,2024-02-19,06:19:28,256228.99,500000.0,Personal Loan,0.0
10,DEBIT,Cheque,LOOP_ALPHA_01,Aditya Nair,2113457241,Ritika Gupta,1329.17,2024-02-21,04:37:17,448946.64,500000.0,Personal Loan,0.0
15,DEBIT,UPI,LOOP_ALPHA_01,Aditya Nair,2050340486,Saanvi Chaudhary,26024.93,2024-03-05,13:15:07,418004.21,500000.0,Personal Loan,0.0
50,DEBIT,IMPS,LOOP_ALPHA_01,Aditya Nair,9675524665,Amit Chaudhary,18448.22,2024-03-06,00:01:29,244888.8,500000.0,Personal Loan,0.0
49,CREDIT,NEFT,2327372855,Varun Yadav,LOOP_ALPHA_01,Aditya Nair,17330.16,2024-03-07,01:22:55,263337.02,500000.0,Personal Loan,0.0
13,DEBIT,RTGS,LOOP_ALPHA_01,Aditya Nair,2546720356,Rajesh Verma,14200.74,2024-03-08,20:38:22,452427.51,500000.0,Personal Loan,0.0
4,DEBIT,Cheque,LOOP_ALPHA_01,Aditya Nair,8684942020,Nisha Bansal,2154.98,2024-03-09,10:25:50,416387.51,500000.0,Personal Loan,0.0
6,CREDIT,RTGS,2331039957,Divya Agarwal,LOOP_ALPHA_01,Aditya Nair,9046.56,2024-03-10,07:23:53,448680.26,500000.0,Personal Loan,0.0
43,CREDIT,IMPS,6837342064,Kiran Pillai,LOOP_ALPHA_01,Aditya Nair,23675.56,2024-03-14,17:38:47,281417.74,500000.0,Personal Loan,0.0
26,DEBIT,UPI,LOOP_ALPHA_01,Aditya Nair,9911329062,Sanjay Patel,24778.92,2024-03-17,02:16:03,285170.12,500000.0,Personal Loan,0.0
25,DEBIT,Bank Transfer,LOOP_ALPHA_01,Aditya Nair,4212203479,Arjun Chaudhary,26971.76,2024-03-19,03:28:47,309949.04,500000.0,Personal Loan,0.0
36,DEBIT,NEFT,LOOP_ALPHA_01,Aditya Nair,9950881177,Aditya Bose,12616.87,2024-03-20,09:25:24,313729.6,500000.0,Personal Loan,0.0
56,CREDIT,Bank Transfer,1139082827,Ritika Sharma,LOOP_ALPHA_01,Aditya Nair,12356.44,2024-03-22,11:35:09,232818.9,500000.0,Personal Loan,0.0
40,DEBIT,RTGS,LOOP_ALPHA_01,Aditya Nair,9738752801,Sunita Chaudhary,26619.29,2024-03-24,22:27:48,249058.6,500000.0,Personal Loan,0.0
42,DEBIT,NEFT,LOOP_ALPHA_01,Aditya Nair,3258354191,Priya Tiwari,6784.28,2024-03-25,19:47:38,257742.18,500000.0,Personal Loan,0.0
5,CREDIT,Bank Transfer,2727768349,Suresh Chaudhary,LOOP_ALPHA_01,Aditya Nair,23246.19,2024-03-26,19:32:08,439633.7,500000.0,Personal Loan,0.0
58,DEBIT,Cheque,LOOP_ALPHA_01,Aditya Nair,2372322277,Aditya Verma,11057.49,2024-03-26,03:13:49,204360.45,500000.0,Personal Loan,0.0
7,CREDIT,Cheque,5578929439,Nisha Singh,LOOP_ALPHA_01,Aditya Nair,12331.21,2024-04-03,15:55:42,461011.47,500000.0,Personal Loan,0.0
48,DEBIT,Bank Transfer,LOOP_ALPHA_01,Aditya Nair,3540741595,Ritika Sharma,10222.13,2024-04-04,12:48:15,246006.86,500000.0,Personal Loan,0.0
