Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
30,CREDIT,IMPS,9147687657,Rohit Singh,LOOP_BETA_02,Amit Kumar,27704.21,2024-01-07,12:18:04,392740.22,500000.0,Personal Loan,0.0
39,DEBIT,NEFT,LOOP_BETA_02,Amit Kumar,5683197659,Amit Rao,25291.96,2024-01-08,14:04:27,278083.19,500000.0,Personal Loan,0.0
1,CREDIT,NEFT,5586143660,Rahul Kapoor,LOOP_BETA_02,Amit Kumar,200629.39,2024-01-14,00:00:00,302663.18,500000.0,Personal Loan,0.0
2,DEBIT,UPI,LOOP_BETA_02,Amit Kumar,LOOP_GAMMA_03,Aarav Verma,194008.87,2024-01-14,01:00:00,108654.31,500000.0,Personal Loan,0.0
3,CREDIT,Cheque,LOOP_ALPHA_01,Aditya Nair,LOOP_BETA_02,Amit Kumar,194008.87,2024-01-14,16:00:00,302663.18,500000.0,Personal Loan,0.0
12,DEBIT,RTGS,LOOP_BETA_02,Amit Kumar,3062994753,Ravi Bansal,3541.22,2024-01-17,00:56:13,285337.36,500000.0,Personal Loan,0.0
52,CREDIT,RTGS,6072939882,Aarav Mehta,LOOP_BETA_02,Amit Kumar,26418.35,2024-01-17,17:08:26,287051.14,500000.0,Personal Loan,0.0
25,CREDIT,Bank Transfer,2780016559,Varun Chaudhary,LOOP_BETA_02,Amit Kumar,13168.22,2024-01-23,20:37:44,294860.6,500000.0,Personal Loan,0.0
28,CREDIT,Bank Transfer,6477862024,Kavya Gupta,LOOP_BETA_02,Amit Kumar,2086.5,2024-01-23,22:30:34,352386.13,500000.0,Personal Loan,0.0
11,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,8902114913,Aryan Singh,2439.43,2024-01-24,01:59:04,288878.58,500000.0,Personal Loan,0.0
5,CREDIT,NEFT,3951331472,Aryan Joshi,LOOP_BETA_02,Amit Kumar,3941.43,2024-01-25,16:25:51,300780.8,500000.0,Personal Loan,0.0
21,CREDIT,RTGS,8547068234,Rohit Kapoor,LOOP_BETA_02,Amit Kumar,18987.92,2024-01-27,06:05:10,270366.72,500000.0,Personal Loan,0.0
35,DEBIT,NEFT,LOOP_BETA_02,Amit Kumar,1124331395,Saanvi Chaudhary,25687.56,2024-01-29,07:18:29,350301.76,500000.0,Personal Loan,0.0
47,CREDIT,Bank Transfer,8092994480,Sunita Yadav,LOOP_BETA_02,Amit Kumar,28613.45,2024-01-29,05:27:31,213542.31,500000.0,Personal Loan,0.0
6,CREDIT,NEFT,5381201661,Ananya Agarwal,LOOP_BETA_02,Amit Kumar,1968.97,2024-02-07,03:48:46,302749.77,500000.0,Personal Loan,0.0
45,CREDIT,UPI,7910817577,Ritika Iyer,LOOP_BETA_02,Amit Kumar,20208.31,2024-02-12,03:56:09,214591.33,500000.0,Personal Loan,0.0
34,CREDIT,UPI,1682781467,Kavya Rao,LOOP_BETA_02,Amit Kumar,24809.5,2024-02-13,18:27:06,375989.32,500000.0,Personal Loan,0.0
58,DEBIT,NEFT,LOOP_BETA_02,Amit Kumar,2965254350,Aryan Joshi,6808.6,2024-02-14,06:33:59,289086.74,500000.0,Personal Loan,0.0
9,CREDIT,RTGS,1230020161,Meera Nair,LOOP_BETA_02,Amit Kumar,13591.81,2024-02-16,07:29:01,308387.27,500000.0,Personal Loan,0.0
17,CREDIT,UPI,9958044697,Aryan Iyer,LOOP_BETA_02,Amit Kumar,20356.59,2024-02-18,19:42:48,275570.9,500000.0,Personal Loan,0.0
57,DEBIT,RTGS,LOOP_BETA_02,Amit Kumar,7570606352,Mohan Nair,20740.24,2024-02-26,01:58:06,295895.34,500000.0,Personal Loan,0.0
43,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,8055515912,Aarav Rao,24347.48,2024-02-28,13:42:25,201711.08,500000.0,Personal Loan,0.0
15,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,2586568081,Rahul Singh,26679.29,2024-03-02,01:37:28,263852.93,500000.0,Personal Loan,0.0
19,DEBIT,NEFT,LOOP_BETA_02,Amit Kumar,4786674545,Tanvi Mehta,16529.92,2024-03-05,10:52:51,277143.05,500000.0,Personal Loan,0.0
55,DEBIT,Cheque,LOOP_BETA_02,Amit Kumar,4655935832,Zara Kapoor,9527.48,2024-03-05,01:57:15,288250.85,500000.0,Personal Loan,0.0
51,CREDIT,RTGS,8180620422,Vihaan Nair,LOOP_BETA_02,Amit Kumar,23762.01,2024-03-09,10:55:47,260632.79,500000.0,Personal Loan,0.0
41,DEBIT,Cheque,LOOP_BETA_02,Amit Kumar,8093513594,Zara Kapoor,6995.2,2024-03-10,00:43:48,253492.51,500000.0,Personal Loan,0.0
16,DEBIT,RTGS,LOOP_BETA_02,Amit Kumar,8890193183,Tanvi Agarwal,8638.62,2024-03-17,02:14:39,255214.31,500000.0,Personal Loan,0.0
20,DEBIT,Bank Transfer,LOOP_BETA_02,Amit Kumar,9739092337,Deepika Joshi,25764.25,2024-03-18,18:49:00,251378.8,500000.0,Personal Loan,0.0
44,DEBIT,NEFT,LOOP_BETA_02,Amit Kumar,7973335079,Amit Chaudhary,7328.06,2024-03-19,03:43:30,194383.02,500000.0,Personal Loan,0.0
38,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,9033653743,Rohit Kapoor,18227.26,2024-03-20,20:04:24,303375.15,500000.0,Personal Loan,0.0
42,DEBIT,RTGS,LOOP_BETA_02,Amit Kumar,3780439666,Aarav Bansal,27433.95,2024-03-21,00:18:29,226058.56,500000.0,Personal Loan,0.0
59,DEBIT,NEFT,LOOP_BETA_02,Amit Kumar,6054421752,Ishaan Chaudhary,19299.95,2024-03-26,02:06:43,269786.79,500000.0,Personal Loan,0.0
14,CREDIT,UPI,2138185235,Priya Tiwari,LOOP_BETA_02,Amit Kumar,14657.39,2024-03-27,19:48:39,290532.22,500000.0,Personal Loan,0.0
27,CREDIT,Bank Transfer,6429425484,Rajesh Jain,LOOP_BETA_02,Amit Kumar,26458.91,2024-03-28,17:40:46,350299.63,500000.0,Personal Loan,0.0
10,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,7614788357,Ravi Bansal,17069.26,2024-03-29,10:14:59,291318.01,500000.0,Personal Loan,0.0
48,CREDIT,Cheque,7872090713,Kiran Trivedi,LOOP_BETA_02,Amit Kumar,27090.92,2024-03-29,11:38:08,240633.23,500000.0,Personal Loan,0.0
22,CREDIT,RTGS,2818381356,Varun Tiwari,LOOP_BETA_02,Amit Kumar,4659.39,2024-04-01,15:51:07,275026.11,500000.0,Personal Loan,0.0
37,DEBIT,RTGS,LOOP_BETA_02,Amit Kumar,4964570811,Kiran Pillai,14462.34,2024-04-01,01:06:45,321602.41,500000.0,Personal Loan,0.0
53,CREDIT,Cheque,4919693525,Sunita Yadav,LOOP_BETA_02,Amit Kumar,22030.41,2024-04-01,12:13:12,309081.55,500000.0,Personal Loan,0.0
29,CREDIT,NEFT,9070061596,Ravi Gupta,LOOP_BETA_02,Amit Kumar,12649.88,2024-04-02,08:38:59,365036.01,500000.0,Personal Loan,0.0
36,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,9237880732,Tanvi Agarwal,14237.01,2024-04-04,07:14:57,336064.75,500000.0,Personal Loan,0.0
50,DEBIT,Cheque,LOOP_BETA_02,Amit Kumar,6110646714,Aditya Agarwal,2024.25,2024-04-06,08:05:45,236870.78,500000.0,Personal Loan,0.0
32,DEBIT,Bank Transfer,LOOP_BETA_02,Amit Kumar,6673086213,Ravi Reddy,22567.99,2024-04-07,15:10:27,344729.68,500000.0,Personal Loan,0.0
33,CREDIT,Bank Transfer,8833889083,Akash Joshi,LOOP_BETA_02,Amit Kumar,6450.14,2024-04-08,17:38:19,351179.82,500000.0,Personal Loan,0.0
24,DEBIT,Bank Transfer,LOOP_BETA_02,Amit Kumar,4751509023,Ravi Singh,12523.29,2024-04-14,22:41:05,281692.38,500000.0,Personal Loan,0.0
26,CREDIT,Bank Transfer,4348118981,Varun Mishra,LOOP_BETA_02,Amit Kumar,28980.12,2024-04-14,10:24:58,323840.72,500000.0,Personal Loan,0.0
54,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,6613888489,Deepika Singh,11303.22,2024-04-14,12:03:46,297778.33,500000.0,Personal Loan,0.0
18,CREDIT,Bank Transfer,3377702111,Ravi Verma,LOOP_BETA_02,Amit Kumar,18102.07,2024-04-21,14:05:38,293672.97,500000.0,Personal Loan,0.0
13,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,5646880148,Saanvi Gupta,9462.53,2024-04-22,04:12:19,275874.83,500000.0,Personal Loan,0.0
40,DEBIT,Cheque,LOOP_BETA_02,Amit Kumar,5144289583,Akash Joshi,17595.48,2024-04-23,08:03:32,260487.71,500000.0,Personal Loan,0.0
46,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,8046300793,Priya Tiwari,29662.47,2024-04-24,10:04:51,184928.86,500000.0,Personal Loan,0.0
31,DEBIT,RTGS,LOOP_BETA_02,Amit Kumar,3941417062,Arjun Trivedi,25442.55,2024-04-25,08:17:58,367297.67,500000.0,Personal Loan,0.0
4,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,7073166054,Rajesh Sinha,5823.81,2024-04-26,13:47:18,296839.37,500000.0,Personal Loan,0.0
56,CREDIT,Bank Transfer,5600836559,Tanvi Mehta,LOOP_BETA_02,Amit Kumar,28384.73,2024-04-27,07:04:59,316635.58,500000.0,Personal Loan,0.0
23,CREDIT,NEFT,6402580787,Ishaan Chaudhary,LOOP_BETA_02,Amit Kumar,19189.56,2024-04-30,02:26:23,294215.67,500000.0,Personal Loan,0.0
49,DEBIT,UPI,LOOP_BETA_02,Amit Kumar,6564579551,Varun Mishra,1738.2,2024-04-30,15:14:22,238895.03,500000.0,Personal Loan,0.0
7,DEBIT,IMPS,LOOP_BETA_02,Amit Kumar,9912067529,Vikram Pillai,26750.01,2024-05-04,03:23:23,275999.76,500000.0,Personal Loan,0.0
8,CREDIT,RTGS,5428082088,Saanvi Gupta,LOOP_BETA_02,Amit Kumar,18795.7,2024-05-04,23:47:53,294795.46,500000.0,Personal Loan,0.0
