Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
12,CREDIT,Cheque,7208619610,Mohan Nair,LOOP_DELTA_04,Deepika Kapoor,24841.16,2024-01-10,10:47:34,629526.92,500000.0,Personal Loan,0.0
23,CREDIT,Bank Transfer,1607196157,Saanvi Gupta,LOOP_DELTA_04,Deepika Kapoor,1323.36,2024-01-10,00:10:59,584930.9,500000.0,Personal Loan,0.0
16,DEBIT,IMPS,LOOP_DELTA_04,Deepika Kapoor,1375899416,Kiran Singh,10619.75,2024-01-11,06:28:49,575071.83,500000.0,Personal Loan,0.0
51,DEBIT,IMPS,LOOP_DELTA_04,Deepika Kapoor,3457877922,Aryan Patel,19256.67,2024-01-12,06:03:22,602892.28,500000.0,Personal Loan,0.0
1,CREDIT,NEFT,1319841893,Tanvi Mehta,LOOP_DELTA_04,Deepika Kapoor,210035.06,2024-01-14,00:00:00,584990.1,500000.0,Personal Loan,0.0
2,DEBIT,NEFT,LOOP_DELTA_04,Deepika Kapoor,LOOP_ALPHA_01,Aditya Nair,194008.87,2024-01-14,07:00:00,390981.23,500000.0,Personal Loan,0.0
3,CREDIT,IMPS,LOOP_GAMMA_03,Aarav Verma,LOOP_DELTA_04,Deepika Kapoor,194008.87,2024-01-14,15:00:00,584990.1,500000.0,Personal Loan,0.0
34,DEBIT,Bank Transfer,LOOP_DELTA_04,Deepika Kapoor,9918338001,Nisha Bansal,26703.74,2024-01-14,00:40:41,529440.47,500000.0,Personal Loan,0.0
58,CREDIT,Cheque,4231461054,Varun Tiwari,LOOP_DELTA_04,Deepika Kapoor,26454.83,2024-01-16,17:33:28,600752.08,500000.0,Personal Loan,0.0
26,DEBIT,Cheque,LOOP_DELTA_04,Deepika Kapoor,2085517692,Varun Mishra,6335.79,2024-01-19,06:36:10,617224.7,500000.0,Personal Loan,0.0
28,DEBIT,RTGS,LOOP_DELTA_04,Deepika Kapoor,6715961218,Rajesh Mishra,22042.09,2024-01-21,23:51:54,620897.89,500000.0,Personal Loan,0.0
50,CREDIT,Bank Transfer,2046556006,Aryan Joshi,LOOP_DELTA_04,Deepika Kapoor,12916.08,2024-01-21,20:52:48,622148.95,500000.0,Personal Loan,0.0
37,CREDIT,Bank Transfer,8976459315,Rajesh Jain,LOOP_DELTA_04,Deepika Kapoor,18098.42,2024-01-22,16:55:09,589101.75,500000.0,Personal Loan,0.0
39,CREDIT,Bank Transfer,5897854817,Aarav Mehta,LOOP_DELTA_04,Deepika Kapoor,22958.98,2024-01-25,06:31:20,624567.5,500000.0,Personal Loan,0.0
13,DEBIT,Bank Transfer,LOOP_DELTA_04,Deepika Kapoor,5072538783,Kavya Rao,15902.95,2024-01-26,19:35:13,613623.97,500000.0,Personal Loan,0.0
57,CREDIT,Bank Transfer,3600650037,Rohit Chaudhary,LOOP_DELTA_04,Deepika Kapoor,24968.91,2024-01-27,17:19:33,574297.25,500000.0,Personal Loan,0.0
56,DEBIT,Bank Transfer,LOOP_DELTA_04,Deepika Kapoor,1466305100,Ananya Nair,12178.39,2024-01-30,19:01:52,549328.34,500000.0,Personal Loan,0.0
49,CREDIT,RTGS,7351460539,Aditya Iyer,LOOP_DELTA_04,Deepika Kapoor,21887.41,2024-01-31,21:30:36,609232.87,500000.0,Personal Loan,0.0
47,DEBIT,RTGS,LOOP_DELTA_04,Deepika Kapoor,8058679999,Arjun Gupta,3235.56,2024-02-01,05:28:12,605804.05,500000.0,Personal Loan,0.0
53,DEBIT,Bank Transfer,LOOP_DELTA_04,Deepika Kapoor,3068750029,Priya Tiwari,18589.25,2024-02-02,14:57:20,600285.61,500000.0,Personal Loan,0.0
41,DEBIT,RTGS,LOOP_DELTA_04,Deepika Kapoor,1995358283,Rohit Joshi,23082.7,2024-02-07,13:27:02,621607.79,500000.0,Personal Loan,0.0
20,DEBIT,UPI,LOOP_DELTA_04,Deepika Kapoor,3605180473,Arjun Bansal,20890.48,2024-02-10,15:56:07,579662.17,500000.0,Personal Loan,0.0
27,CREDIT,IMPS,3360791536,Divya Das,LOOP_DELTA_04,Deepika Kapoor,25715.28,2024-02-11,02:27:09,642939.98,500000.0,Personal Loan,0.0
22,CREDIT,IMPS,3723205427,Suresh Mehta,LOOP_DELTA_04,Deepika Kapoor,24106.34,2024-02-12,23:35:26,583607.54,500000.0,Personal Loan,0.0
24,CREDIT,Cheque,5067245523,Rajesh Sinha,LOOP_DELTA_04,Deepika Kapoor,16577.41,2024-02-13,07:38:52,601508.31,500000.0,Personal Loan,0.0
29,DEBIT,UPI,LOOP_DELTA_04,Deepika Kapoor,4865979921,Divya Joshi,18965.96,2024-02-14,17:41:22,601931.93,500000.0,Personal Loan,0.0
4,CREDIT,Cheque,2095286033,Kiran Pillai,LOOP_DELTA_04,Deepika Kapoor,4771.93,2024-02-16,16:58:42,589762.03,500000.0,Personal Loan,0.0
36,CREDIT,RTGS,4329446784,Kiran Singh,LOOP_DELTA_04,Deepika Kapoor,16996.23,2024-02-20,14:17:25,571003.33,500000.0,Personal Loan,0.0
17,CREDIT,Cheque,6405851839,Tanvi Mehta,LOOP_DELTA_04,Deepika Kapoor,17673.91,2024-02-23,16:25:29,592745.74,500000.0,Personal Loan,0.0
7,DEBIT,Bank Transfer,LOOP_DELTA_04,Deepika Kapoor,3169561289,Sunita Kapoor,6332.2,2024-02-27,19:46:22,605782.93,500000.0,Personal Loan,0.0
32,DEBIT,IMPS,LOOP_DELTA_04,Deepika Kapoor,7356353895,Meera Sharma,11425.09,2024-03-02,13:03:40,560300.36,500000.0,Personal Loan,0.0
42,DEBIT,NEFT,LOOP_DELTA_04,Deepika Kapoor,6846530109,Mohan Nair,6996.45,2024-03-05,16:33:11,614611.34,500000.0,Personal Loan,0.0
44,DEBIT,UPI,LOOP_DELTA_04,Deepika Kapoor,4588312351,Aryan Singh,19956.58,2024-03-11,09:09:35,574847.54,500000.0,Personal Loan,0.0
21,DEBIT,RTGS,LOOP_DELTA_04,Deepika Kapoor,3035761595,Akash Pillai,20160.97,2024-03-13,08:00:18,559501.2,500000.0,Personal Loan,0.0
11,CREDIT,NEFT,6952291828,Saanvi Patel,LOOP_DELTA_04,Deepika Kapoor,28404.64,2024-03-14,10:17:50,604685.76,500000.0,Personal Loan,0.0
9,DEBIT,NEFT,LOOP_DELTA_04,Deepika Kapoor,7573442717,Zara Jain,7334.91,2024-03-16,23:38:25,587315.33,500000.0,Personal Loan,0.0
43,DEBIT,Bank Transfer,LOOP_DELTA_04,Deepika Kapoor,8481445242,Aryan Joshi,19807.22,2024-03-19,19:49:09,594804.12,500000.0,Personal Loan,0.0
