Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
54,DEBIT,IMPS,LOOP_GAMMA_03,Aarav Verma,9817847029,Varun Bose,12045.24,2024-01-12,07:16:41,323302.24,500000.0,Personal Loan,0.0
1,CREDIT,Bank Transfer,7236521132,Ritika Mehta,LOOP_GAMMA_03,Aarav Verma,210612.0,2024-01-14,00:00:00,283752.95,500000.0,Personal Loan,0.0
2,DEBIT,UPI,LOOP_GAMMA_03,Aarav Verma,LOOP_DELTA_04,Deepika Kapoor,194008.87,2024-01-14,03:00:00,89744.08,500000.0,Personal Loan,0.0
3,CREDIT,RTGS,LOOP_BETA_02,Amit Kumar,LOOP_GAMMA_03,Aarav Verma,194008.87,2024-01-14,10:00:00,283752.95,500000.0,Personal Loan,0.0
19,DEBIT,NEFT,LOOP_GAMMA_03,Aarav Verma,3122160665,Aditya Agarwal,1369.73,2024-01-16,18:37:50,302197.55,500000.0,Personal Loan,0.0
22,CREDIT,NEFT,4172006012,Ananya Kapoor,LOOP_GAMMA_03,Aarav Verma,10068.51,2024-01-17,01:40:14,291621.31,500000.0,Personal Loan,0.0
12,CREDIT,NEFT,9795922823,Vikram Jain,LOOP_GAMMA_03,Aarav Verma,19070.91,2024-01-18,23:47:44,316823.09,500000.0,Personal Loan,0.0
24,DEBIT,UPI,LOOP_GAMMA_03,Aarav Verma,2471982906,Sunita Yadav,22258.97,2024-01-19,14:35:30,289599.64,500000.0,Personal Loan,0.0
13,DEBIT,IMPS,LOOP_GAMMA_03,Aarav Verma,7203282627,Saanvi Sinha,4357.9,2024-01-20,19:55:33,312465.19,500000.0,Personal Loan,0.0
36,DEBIT,Cheque,LOOP_GAMMA_03,Aarav Verma,7215110267,Arjun Das,25841.09,2024-01-20,18:06:31,259647.52,500000.0,Personal Loan,0.0
9,CREDIT,NEFT,4221721910,Aditya Sharma,LOOP_GAMMA_03,Aarav Verma,15215.18,2024-01-26,14:41:13,315268.38,500000.0,Personal Loan,0.0
27,DEBIT,UPI,LOOP_GAMMA_03,Aarav Verma,8208643631,Nisha Chaudhary,18131.76,2024-01-28,22:15:27,286187.62,500000.0,Personal Loan,0.0
16,CREDIT,RTGS,5751366455,Arjun Gupta,LOOP_GAMMA_03,Aarav Verma,4414.3,2024-01-30,22:10:23,295349.83,500000.0,Personal Loan,0.0
51,CREDIT,Cheque,1933479178,Ravi Bansal,LOOP_GAMMA_03,Aarav Verma,15856.54,2024-01-31,22:43:30,325225.94,500000.0,Personal Loan,0.0
43,CREDIT,RTGS,2757546829,Ananya Singh,LOOP_GAMMA_03,Aarav Verma,15280.24,2024-02-06,22:14:25,306794.79,500000.0,Personal Loan,0.0
34,DEBIT,Bank Transfer,LOOP_GAMMA_03,Aarav Verma,6329589780,Zara Mehta,15257.79,2024-02-09,01:49:59,305144.81,500000.0,Personal Loan,0.0
49,CREDIT,IMPS,4274374218,Arjun Chaudhary,LOOP_GAMMA_03,Aarav Verma,27561.4,2024-02-09,14:29:09,295236.87,500000.0,Personal Loan,0.0
20,CREDIT,UPI,6287793163,Sanjay Verma,LOOP_GAMMA_03,Aarav Verma,3937.42,2024-02-11,09:36:59,306134.97,500000.0,Personal Loan,0.0
14,DEBIT,Cheque,LOOP_GAMMA_03,Aarav Verma,3707166618,Saanvi Gupta,5440.69,2024-02-12,15:19:24,307024.5,500000.0,Personal Loan,0.0
6,CREDIT,NEFT,9061589784,Saanvi Mishra,LOOP_GAMMA_03,Aarav Verma,7561.71,2024-02-13,04:41:39,303902.79,500000.0,Personal Loan,0.0
41,CREDIT,Cheque,1952396600,Kiran Trivedi,LOOP_GAMMA_03,Aarav Verma,4306.68,2024-02-17,12:55:48,282047.03,500000.0,Personal Loan,0.0
17,CREDIT,IMPS,5179517389,Tanvi Tiwari,LOOP_GAMMA_03,Aarav Verma,25113.47,2024-02-19,14:55:07,320463.3,500000.0,Personal Loan,0.0
23,CREDIT,Bank Transfer,6027311960,Priya Yadav,LOOP_GAMMA_03,Aarav Verma,20237.3,2024-02-19,15:56:12,311858.61,500000.0,Personal Loan,0.0
56,CREDIT,NEFT,3324316421,Aditya Sharma,LOOP_GAMMA_03,Aarav Verma,6916.03,2024-02-19,16:28:42,335885.4,500000.0,Personal Loan,0.0
39,DEBIT,RTGS,LOOP_GAMMA_03,Aarav Verma,9376711497,Kavya Rao,20472.76,2024-02-20,01:58:33,267113.14,500000.0,Personal Loan,0.0
11,CREDIT,IMPS,4402160254,Kavya Kapoor,LOOP_GAMMA_03,Aarav Verma,4571.7,2024-02-22,23:18:48,297752.18,500000.0,Personal Loan,0.0
50,CREDIT,Cheque,1572827654,Sunita Yadav,LOOP_GAMMA_03,Aarav Verma,14132.53,2024-02-26,21:56:14,309369.4,500000.0,Personal Loan,0.0
15,DEBIT,Bank Transfer,LOOP_GAMMA_03,Aarav Verma,4009596757,Varun Bose,16088.97,2024-02-27,03:49:11,290935.53,500000.0,Personal Loan,0.0
8,CREDIT,IMPS,7546035453,Arjun Bansal,LOOP_GAMMA_03,Aarav Verma,14221.86,2024-02-29,04:52:16,300053.2,500000.0,Personal Loan,0.0
59,DEBIT,Cheque,LOOP_GAMMA_03,Aarav Verma,6126033644,Kiran Trivedi,22566.43,2024-03-02,06:27:35,361777.28,500000.0,Personal Loan,0.0
35,DEBIT,Bank Transfer,LOOP_GAMMA_03,Aarav Verma,2009317340,Ananya Agarwal,19656.2,2024-03-03,16:10:20,285488.61,500000.0,Personal Loan,0.0
44,DEBIT,Cheque,LOOP_GAMMA_03,Aarav Verma,2687477596,Meera Bose,27976.27,2024-03-03,06:56:19,278818.52,500000.0,Personal Loan,0.0
45,DEBIT,Bank Transfer,LOOP_GAMMA_03,Aarav Verma,9125023089,Zara Yadav,22957.33,2024-03-03,23:58:25,255861.19,500000.0,Personal Loan,0.0
4,CREDIT,NEFT,7027529118,Ananya Mehta,LOOP_GAMMA_03,Aarav Verma,19371.14,2024-03-06,13:57:22,303124.09,500000.0,Personal Loan,0.0
28,CREDIT,NEFT,4830092090,Akash Chaudhary,LOOP_GAMMA_03,Aarav Verma,18729.39,2024-03-06,17:46:19,304917.01,500000.0,Personal Loan,0.0
48,DEBIT,UPI,LOOP_GAMMA_03,Aarav Verma,9086117171,Sanjay Patel,18415.83,2024-03-09,14:00:18,267675.47,500000.0,Personal Loan,0.0
57,CREDIT,Cheque,2670255496,Tanvi Sinha,LOOP_GAMMA_03,Aarav Verma,20590.25,2024-03-10,10:28:21,356475.65,500000.0,Personal Loan,0.0
46,CREDIT,Bank Transfer,3142452709,Arjun Chaudhary,LOOP_GAMMA_03,Aarav Verma,4904.44,2024-03-12,01:46:06,260765.63,500000.0,Personal Loan,0.0
37,CREDIT,NEFT,2770980600,Akash Chaudhary,LOOP_GAMMA_03,Aarav Verma,3976.66,2024-03-16,19:59:31,263624.18,500000.0,Personal Loan,0.0
29,CREDIT,NEFT,5566993537,Zara Singh,LOOP_GAMMA_03,Aarav Verma,13779.95,2024-03-28,11:26:27,318696.96,500000.0,Personal Loan,0.0
31,CREDIT,UPI,5704029171,Priya Agarwal,LOOP_GAMMA_03,Aarav Verma,21316.83,2024-03-29,09:03:01,360673.73,500000.0,Personal Loan,0.0
30,CREDIT,Bank Transfer,3426709025,Sanjay Yadav,LOOP_GAMMA_03,Aarav Verma,20659.94,2024-03-30,12:19:01,339356.9,500000.0,Personal Loan,0.0
5,DEBIT,Cheque,LOOP_GAMMA_03,Aarav Verma,1818520766,Rahul Singh,6783.01,2024-03-31,00:09:00,296341.08,500000.0,Personal Loan,0.0
18,DEBIT,IMPS,LOOP_GAMMA_03,Aarav Verma,4909951947,Zara Mehta,16896.02,2024-04-02,17:30:01,303567.28,500000.0,Personal Loan,0.0
42,CREDIT,NEFT,7536876169,Ritika Patel,LOOP_GAMMA_03,Aarav Verma,9467.52,2024-04-03,03:52:15,291514.55,500000.0,Personal Loan,0.0
52,DEBIT,RTGS,LOOP_GAMMA_03,Aarav Verma,3887823121,Ritika Gupta,11013.51,2024-04-04,23:40:08,314212.43,500000.0,Personal Loan,0.0
40,CREDIT,IMPS,7871737874,Aarav Mehta,LOOP_GAMMA_03,Aarav Verma,10627.21,2024-04-05,23:55:36,277740.35,500000.0,Personal Loan,0.0
10,DEBIT,Bank Transfer,LOOP_GAMMA_03,Aarav Verma,1563524533,Ravi Bansal,22087.9,2024-04-07,00:47:52,293180.48,500000.0,Personal Loan,0.0
47,CREDIT,NEFT,3484872186,Ravi Bansal,LOOP_GAMMA_03,Aarav Verma,25325.67,2024-04-07,04:40:27,286091.3,500000.0,Personal Loan,0.0
58,CREDIT,Bank Transfer,6959501845,Deepika Joshi,LOOP_GAMMA_03,Aarav Verma,27868.06,2024-04-14,11:23:00,384343.71,500000.0,Personal Loan,0.0
25,CREDIT,Cheque,8948573913,Sunita Jain,LOOP_GAMMA_03,Aarav Verma,8883.16,2024-04-16,15:21:18,298482.8,500000.0,Personal Loan,0.0
53,CREDIT,Bank Transfer,8934097788,Aryan Verma,LOOP_GAMMA_03,Aarav Verma,21135.05,2024-04-17,00:27:53,335347.48,500000.0,Personal Loan,0.0
7,DEBIT,IMPS,LOOP_GAMMA_03,Aarav Verma,1717346250,Mohan Pillai,18071.45,2024-04-19,01:39:52,285831.34,500000.0,Personal Loan,0.0
32,DEBIT,Bank Transfer,LOOP_GAMMA_03,Aarav Verma,2653032484,Sunita Chaudhary,20612.57,2024-04-21,20:19:43,340061.16,500000.0,Personal Loan,0.0
55,CREDIT,Cheque,2076151332,Sanjay Reddy,LOOP_GAMMA_03,Aarav Verma,5667.13,2024-04-21,02:15:30,328969.37,500000.0,Personal Loan,0.0
21,DEBIT,IMPS,LOOP_GAMMA_03,Aarav Verma,4754404646,Tanvi Agarwal,24582.17,2024-04-23,10:34:45,281552.8,500000.0,Personal Loan,0.0
33,DEBIT,RTGS,LOOP_GAMMA_03,Aarav Verma,8940731272,Ishaan Chaudhary,19658.56,2024-04-23,18:03:10,320402.6,500000.0,Personal Loan,0.0
38,CREDIT,Bank Transfer,8033172680,Aarav Rao,LOOP_GAMMA_03,Aarav Verma,23961.72,2024-04-27,18:30:28,287585.9,500000.0,Personal Loan,0.0
26,CREDIT,NEFT,4119911995,Kiran Singh,LOOP_GAMMA_03,Aarav Verma,5836.58,2024-05-04,05:48:12,304319.38,500000.0,Personal Loan,0.0
