Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,CREDIT,Cheque,3291300350,Varun Gupta,SHELL_CO_001,Aditya Trivedi,258357.8,2024-01-05,16:00:00,268357.8,500000.0,Business Loan,0.0
2,DEBIT,Bank Transfer,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,64589.45,2024-01-05,18:00:00,203768.35,500000.0,Business Loan,0.0
3,DEBIT,IMPS,SHELL_CO_001,Aditya Trivedi,LOOP_BETA_02,Amit Kumar,64589.45,2024-01-05,19:00:00,139178.9,500000.0,Business Loan,0.0
4,DEBIT,RTGS,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,64589.45,2024-01-05,20:00:00,74589.45,500000.0,Business Loan,0.0
5,DEBIT,IMPS,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,64589.45,2024-01-05,19:00:00,10000.0,500000.0,Business Loan,0.0
6,CREDIT,UPI,6636889684,Aryan Verma,SHELL_CO_001,Aditya Trivedi,492504.04,2024-01-08,16:00:00,502504.04,500000.0,Business Loan,0.0
7,DEBIT,RTGS,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,246252.02,2024-01-08,20:00:00,256252.02,500000.0,Business Loan,0.0
8,DEBIT,IMPS,SHELL_CO_001,Aditya Trivedi,LOOP_BETA_02,Amit Kumar,246252.02,2024-01-08,19:00:00,10000.0,500000.0,Business Loan,0.0
9,CREDIT,Cheque,1566056427,Aditya Iyer,SHELL_CO_001,Aditya Trivedi,504769.8,2024-01-11,11:00:00,514769.8,500000.0,Business Loan,0.0
10,DEBIT,IMPS,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,252384.9,2024-01-11,12:00:00,262384.9,500000.0,Business Loan,0.0
11,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,252384.9,2024-01-11,16:00:00,10000.0,500000.0,Business Loan,0.0
12,CREDIT,Bank Transfer,4510886562,Amit Verma,SHELL_CO_001,Aditya Trivedi,554321.57,2024-01-14,15:00:00,564321.57,500000.0,Business Loan,0.0
13,DEBIT,NEFT,SHELL_CO_001,Aditya Trivedi,LOOP_BETA_02,Amit Kumar,277160.78,2024-01-14,19:00:00,287160.78,500000.0,Business Loan,0.0
14,DEBIT,RTGS,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,277160.78,2024-01-14,18:00:00,10000.0,500000.0,Business Loan,0.0
15,CREDIT,Bank Transfer,1566056427,Aditya Iyer,SHELL_CO_001,Aditya Trivedi,670588.39,2024-01-17,15:00:00,680588.39,500000.0,Business Loan,0.0
16,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,LOOP_BETA_02,Amit Kumar,223529.46,2024-01-17,20:00:00,457058.93,500000.0,Business Loan,0.0
17,DEBIT,Bank Transfer,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,223529.46,2024-01-17,16:00:00,233529.46,500000.0,Business Loan,0.0
18,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,223529.46,2024-01-17,20:00:00,10000.0,500000.0,Business Loan,0.0
19,CREDIT,RTGS,1566056427,Aditya Iyer,SHELL_CO_001,Aditya Trivedi,533052.62,2024-01-20,14:00:00,543052.62,500000.0,Business Loan,0.0
20,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,177684.21,2024-01-20,19:00:00,365368.41,500000.0,Business Loan,0.0
21,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,177684.21,2024-01-20,17:00:00,187684.21,500000.0,Business Loan,0.0
22,DEBIT,NEFT,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,177684.21,2024-01-20,15:00:00,10000.0,500000.0,Business Loan,0.0
23,CREDIT,RTGS,6636889684,Aryan Verma,SHELL_CO_001,Aditya Trivedi,690220.15,2024-01-23,12:00:00,700220.15,500000.0,Business Loan,0.0
24,DEBIT,Bank Transfer,SHELL_CO_001,Aditya Trivedi,LOOP_BETA_02,Amit Kumar,172555.04,2024-01-23,17:00:00,527665.11,500000.0,Business Loan,0.0
25,DEBIT,RTGS,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,172555.04,2024-01-23,16:00:00,355110.07,500000.0,Business Loan,0.0
26,DEBIT,Cheque,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,172555.04,2024-01-23,14:00:00,182555.04,500000.0,Business Loan,0.0
27,DEBIT,IMPS,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,172555.04,2024-01-23,15:00:00,10000.0,500000.0,Business Loan,0.0
28,CREDIT,Cheque,1566056427,Aditya Iyer,SHELL_CO_001,Aditya Trivedi,751100.97,2024-01-26,13:00:00,761100.97,500000.0,Business Loan,0.0
29,DEBIT,Bank Transfer,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,250366.99,2024-01-26,18:00:00,510733.98,500000.0,Business Loan,0.0
30,DEBIT,RTGS,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,250366.99,2024-01-26,17:00:00,260366.99,500000.0,Business Loan,0.0
31,DEBIT,NEFT,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,250366.99,2024-01-26,16:00:00,10000.0,500000.0,Business Loan,0.0
32,CREDIT,NEFT,6636889684,Aryan Verma,SHELL_CO_001,Aditya Trivedi,740645.42,2024-01-29,14:00:00,750645.42,500000.0,Business Loan,0.0
33,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,185161.36,2024-01-29,16:00:00,565484.07,500000.0,Business Loan,0.0
34,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,185161.36,2024-01-29,19:00:00,380322.71,500000.0,Business Loan,0.0
35,DEBIT,Cheque,SHELL_CO_001,Aditya Trivedi,LOOP_BETA_02,Amit Kumar,185161.36,2024-01-29,17:00:00,195161.36,500000.0,Business Loan,0.0
36,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,185161.36,2024-01-29,18:00:00,10000.0,500000.0,Business Loan,0.0
37,CREDIT,Cheque,4510886562,Amit Verma,SHELL_CO_001,Aditya Trivedi,461114.03,2024-02-01,15:00:00,471114.03,500000.0,Business Loan,0.0
38,DEBIT,Bank Transfer,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,230557.02,2024-02-01,17:00:00,240557.02,500000.0,Business Loan,0.0
39,DEBIT,IMPS,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,230557.02,2024-02-01,19:00:00,10000.0,500000.0,Business Loan,0.0
40,CREDIT,RTGS,4510886562,Amit Verma,SHELL_CO_001,Aditya Trivedi,292560.37,2024-02-04,15:00:00,302560.37,500000.0,Business Loan,0.0
41,DEBIT,RTGS,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,146280.18,2024-02-04,16:00:00,156280.19,500000.0,Business Loan,0.0
42,DEBIT,Cheque,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,146280.18,2024-02-04,19:00:00,10000.0,500000.0,Business Loan,0.0
43,CREDIT,NEFT,4510886562,Amit Verma,SHELL_CO_001,Aditya Trivedi,784985.02,2024-02-07,15:00:00,794985.02,500000.0,Business Loan,0.0
44,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,392492.51,2024-02-07,20:00:00,402492.51,500000.0,Business Loan,0.0
45,DEBIT,RTGS,SHELL_CO_001,Aditya Trivedi,LOOP_BETA_02,Amit Kumar,392492.51,2024-02-07,20:00:00,10000.0,500000.0,Business Loan,0.0
46,CREDIT,UPI,1566056427,Aditya Iyer,SHELL_CO_001,Aditya Trivedi,505648.95,2024-02-10,16:00:00,515648.95,500000.0,Business Loan,0.0
47,DEBIT,NEFT,SHELL_CO_001,Aditya Trivedi,LOOP_BETA_02,Amit Kumar,168549.65,2024-02-10,21:00:00,347099.3,500000.0,Business Loan,0.0
48,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,168549.65,2024-02-10,21:00:00,178549.65,500000.0,Business Loan,0.0
49,DEBIT,Cheque,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,168549.65,2024-02-10,18:00:00,10000.0,500000.0,Business Loan,0.0
50,CREDIT,NEFT,3291300350,Varun Gupta,SHELL_CO_001,Aditya Trivedi,361550.27,2024-02-13,17:00:00,371550.27,500000.0,Business Loan,0.0
51,DEBIT,NEFT,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,180775.14,2024-02-13,20:00:00,190775.14,500000.0,Business Loan,0.0
52,DEBIT,UPI,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,180775.14,2024-02-13,22:00:00,10000.0,500000.0,Business Loan,0.0
53,CREDIT,UPI,3291300350,Varun Gupta,SHELL_CO_001,Aditya Trivedi,285252.49,2024-02-16,10:00:00,295252.49,500000.0,Business Loan,0.0
54,DEBIT,Cheque,SHELL_CO_001,Aditya Trivedi,LOOP_ALPHA_01,Aditya Nair,71313.12,2024-02-16,14:00:00,223939.37,500000.0,Business Loan,0.0
55,DEBIT,Cheque,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,71313.12,2024-02-16,11:00:00,152626.25,500000.0,Business Loan,0.0
56,DEBIT,Bank Transfer,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,71313.12,2024-02-16,15:00:00,81313.12,500000.0,Business Loan,0.0
57,DEBIT,Bank Transfer,SHELL_CO_001,Aditya Trivedi,LOOP_BETA_02,Amit Kumar,71313.12,2024-02-16,13:00:00,10000.0,500000.0,Business Loan,0.0
58,CREDIT,UPI,6636889684,Aryan Verma,SHELL_CO_001,Aditya Trivedi,742151.16,2024-02-19,09:00:00,752151.16,500000.0,Business Loan,0.0
59,DEBIT,IMPS,SHELL_CO_001,Aditya Trivedi,7942021507,Rajesh Patel,247383.72,2024-02-19,13:00:00,504767.44,500000.0,Business Loan,0.0
60,DEBIT,IMPS,SHELL_CO_001,Aditya Trivedi,ACC_RETAIL_001,Zara Pillai,247383.72,2024-02-19,12:00:00,257383.72,500000.0,Business Loan,0.0
