Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
23,DEBIT,NEFT,STRUCT_ACC_002,Vikram Singh,8099637213,Vikram Rao,16411.2,2024-01-07,06:46:11,968153.86,500000.0,Personal Loan,0.0
27,DEBIT,UPI,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,61292.72,2024-01-12,09:42:11,928758.52,500000.0,Personal Loan,0.0
2,CREDIT,NEFT,6641362499,Rohit Mishra,STRUCT_ACC_002,Vikram Singh,77414.45,2024-01-26,06:41:42,1244798.33,500000.0,Personal Loan,0.0
37,DEBIT,Bank Transfer,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,186734.92,2024-02-04,01:31:44,-523683.07,500000.0,Business Loan,0.0
50,DEBIT,Bank Transfer,STRUCT_ACC_002,Vikram Singh,6641362499,Rohit Mishra,192853.29,2024-02-04,23:13:47,-3011854.69,500000.0,Business Loan,0.0
29,CREDIT,UPI,8346255879,Sunita Rao,STRUCT_ACC_002,Vikram Singh,14147.12,2024-02-05,14:00:36,902644.63,500000.0,Personal Loan,0.0
35,DEBIT,Cheque,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,197523.04,2024-02-07,08:35:28,-145652.81,500000.0,Business Loan,0.0
58,DEBIT,Bank Transfer,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,186552.3,2024-02-07,01:09:30,-4542445.71,500000.0,Business Loan,0.0
41,DEBIT,NEFT,STRUCT_ACC_002,Vikram Singh,8346255879,Sunita Rao,185866.74,2024-02-08,19:31:40,-1282620.8,500000.0,Business Loan,0.0
32,DEBIT,Cheque,STRUCT_ACC_002,Vikram Singh,2475860255,Ananya Mehta,198937.6,2024-02-09,22:54:25,429459.76,500000.0,Business Loan,0.0
36,DEBIT,Bank Transfer,STRUCT_ACC_002,Vikram Singh,4895849088,Amit Nair,191295.34,2024-02-09,10:03:08,-336948.15,500000.0,Business Loan,0.0
57,DEBIT,RTGS,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,197110.3,2024-02-09,01:08:19,-4355893.41,500000.0,Business Loan,0.0
34,DEBIT,NEFT,STRUCT_ACC_002,Vikram Singh,2475860255,Ananya Mehta,191977.83,2024-02-10,13:07:21,51870.23,500000.0,Business Loan,0.0
21,DEBIT,Cheque,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,10134.8,2024-02-11,04:01:04,1023522.6,500000.0,Personal Loan,0.0
39,DEBIT,UPI,STRUCT_ACC_002,Vikram Singh,4895849088,Amit Nair,190385.28,2024-02-11,05:44:29,-910428.74,500000.0,Business Loan,0.0
52,DEBIT,Cheque,STRUCT_ACC_002,Vikram Singh,8099637213,Vikram Rao,197424.02,2024-02-11,11:40:34,-3399774.84,500000.0,Business Loan,0.0
60,DEBIT,IMPS,STRUCT_ACC_002,Vikram Singh,8099637213,Vikram Rao,194047.57,2024-02-12,01:47:13,-4930798.68,500000.0,Business Loan,0.0
13,CREDIT,UPI,6641362499,Rohit Mishra,STRUCT_ACC_002,Vikram Singh,65353.08,2024-02-13,13:19:03,1220456.19,500000.0,Personal Loan,0.0
40,DEBIT,NEFT,STRUCT_ACC_002,Vikram Singh,8099637213,Vikram Rao,186325.32,2024-02-14,22:45:37,-1096754.06,500000.0,Business Loan,0.0
42,DEBIT,Cheque,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,186824.5,2024-02-14,20:19:44,-1469445.3,500000.0,Business Loan,0.0
47,DEBIT,IMPS,STRUCT_ACC_002,Vikram Singh,2475860255,Ananya Mehta,187706.09,2024-02-14,17:03:13,-2435421.59,500000.0,Business Loan,0.0
25,DEBIT,IMPS,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,6104.36,2024-02-17,15:18:02,947671.56,500000.0,Personal Loan,0.0
55,DEBIT,IMPS,STRUCT_ACC_002,Vikram Singh,2475860255,Ananya Mehta,193889.07,2024-02-17,23:20:04,-3972181.38,500000.0,Business Loan,0.0
49,DEBIT,IMPS,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,185998.71,2024-02-18,10:45:54,-2819001.4,500000.0,Business Loan,0.0
31,DEBIT,Cheque,STRUCT_ACC_002,Vikram Singh,1339783148,Saanvi Patel,194657.11,2024-02-19,14:10:03,628397.36,500000.0,Business Loan,0.0
46,DEBIT,Bank Transfer,STRUCT_ACC_002,Vikram Singh,8346255879,Sunita Rao,189273.36,2024-02-19,06:54:34,-2247715.5,500000.0,Business Loan,0.0
33,DEBIT,IMPS,STRUCT_ACC_002,Vikram Singh,8099637213,Vikram Rao,185611.7,2024-02-20,04:26:49,243848.06,500000.0,Business Loan,0.0
56,DEBIT,NEFT,STRUCT_ACC_002,Vikram Singh,8099637213,Vikram Rao,186601.73,2024-02-25,02:25:39,-4158783.11,500000.0,Business Loan,0.0
59,DEBIT,Bank Transfer,STRUCT_ACC_002,Vikram Singh,6641362499,Rohit Mishra,194305.4,2024-02-25,17:50:13,-4736751.11,500000.0,Business Loan,0.0
38,DEBIT,RTGS,STRUCT_ACC_002,Vikram Singh,6641362499,Rohit Mishra,196360.39,2024-02-26,21:42:26,-720043.46,500000.0,Business Loan,0.0
45,DEBIT,Bank Transfer,STRUCT_ACC_002,Vikram Singh,6641362499,Rohit Mishra,198030.61,2024-02-26,15:55:44,-2058442.14,500000.0,Business Loan,0.0
43,DEBIT,NEFT,STRUCT_ACC_002,Vikram Singh,6641362499,Rohit Mishra,195972.11,2024-02-27,07:01:32,-1665417.41,500000.0,Business Loan,0.0
44,DEBIT,IMPS,STRUCT_ACC_002,Vikram Singh,2475860255,Ananya Mehta,194994.12,2024-02-27,04:54:19,-1860411.53,500000.0,Business Loan,0.0
54,DEBIT,RTGS,STRUCT_ACC_002,Vikram Singh,6641362499,Rohit Mishra,192599.01,2024-02-28,20:04:41,-3778292.31,500000.0,Business Loan,0.0
