Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
11,CREDIT,RTGS,3744126400,Kiran Iyer,VELO_BURST_001,Aarav Sinha,59617.9,2024-01-05,10:56:05,734870.63,500000.0,Personal Loan,0.0
34,CREDIT,Cheque,3744126400,Kiran Iyer,VELO_BURST_001,Aarav Sinha,55750.32,2024-01-06,12:29:53,730065.53,500000.0,Personal Loan,0.0
35,CREDIT,RTGS,7944675764,Kavya Mishra,VELO_BURST_001,Aarav Sinha,19696.85,2024-01-07,12:04:59,749762.38,500000.0,Personal Loan,0.0
22,DEBIT,UPI,VELO_BURST_001,Aarav Sinha,8111389362,Tanvi Agarwal,42470.58,2024-01-11,14:18:15,579790.61,500000.0,Personal Loan,0.0
39,CREDIT,Cheque,4083121646,Rajesh Sinha,VELO_BURST_001,Aarav Sinha,5078.94,2024-01-13,14:09:00,796144.71,500000.0,Personal Loan,0.0
53,CREDIT,Bank Transfer,9119337640,Ritika Reddy,VELO_BURST_001,Aarav Sinha,55192.5,2024-01-13,20:17:31,599078.68,500000.0,Personal Loan,0.0
1,CREDIT,Bank Transfer,3744126400,Kiran Iyer,VELO_BURST_001,Aarav Sinha,44589.42,2024-01-14,07:51:38,499095.37,500000.0,Personal Loan,0.0
18,DEBIT,IMPS,VELO_BURST_001,Aarav Sinha,8825544304,Priya Agarwal,48883.79,2024-01-15,02:02:09,652799.91,500000.0,Personal Loan,0.0
24,CREDIT,Bank Transfer,9119337640,Ritika Reddy,VELO_BURST_001,Aarav Sinha,10584.72,2024-01-15,17:19:31,625740.11,500000.0,Personal Loan,0.0
25,CREDIT,Bank Transfer,3744126400,Kiran Iyer,VELO_BURST_001,Aarav Sinha,33792.84,2024-01-15,14:30:35,659532.95,500000.0,Personal Loan,0.0
75,DEBIT,Cheque,VELO_BURST_001,Aarav Sinha,9119337640,Ritika Reddy,28065.11,2024-01-15,19:04:17,361416.96,500000.0,Personal Loan,0.0
13,CREDIT,UPI,8111389362,Tanvi Agarwal,VELO_BURST_001,Aarav Sinha,55703.5,2024-01-17,01:22:26,770309.66,500000.0,Personal Loan,0.0
60,DEBIT,RTGS,VELO_BURST_001,Aarav Sinha,7944675764,Kavya Mishra,24472.7,2024-01-22,05:57:47,603438.01,500000.0,Personal Loan,0.0
56,CREDIT,NEFT,3744126400,Kiran Iyer,VELO_BURST_001,Aarav Sinha,49658.51,2024-01-24,06:50:32,637119.78,500000.0,Personal Loan,0.0
2,DEBIT,Bank Transfer,VELO_BURST_001,Aarav Sinha,8825544304,Priya Agarwal,44059.97,2024-01-29,07:01:52,455035.4,500000.0,Personal Loan,0.0
32,DEBIT,RTGS,VELO_BURST_001,Aarav Sinha,4573746499,Ravi Nair,4602.9,2024-01-30,13:36:37,622854.89,500000.0,Personal Loan,0.0
23,CREDIT,IMPS,4955816119,Varun Tiwari,VELO_BURST_001,Aarav Sinha,35364.78,2024-02-02,15:43:34,615155.39,500000.0,Personal Loan,0.0
41,DEBIT,Bank Transfer,VELO_BURST_001,Aarav Sinha,8825544304,Priya Agarwal,53237.33,2024-02-03,13:51:39,691486.57,500000.0,Personal Loan,0.0
10,CREDIT,NEFT,4083121646,Rajesh Sinha,VELO_BURST_001,Aarav Sinha,2011.35,2024-02-10,21:41:27,675252.73,500000.0,Personal Loan,0.0
38,CREDIT,Cheque,4083121646,Rajesh Sinha,VELO_BURST_001,Aarav Sinha,16816.47,2024-02-10,07:18:25,791065.77,500000.0,Personal Loan,0.0
45,DEBIT,IMPS,VELO_BURST_001,Aarav Sinha,9119337640,Ritika Reddy,22113.23,2024-02-19,22:45:50,630909.51,500000.0,Personal Loan,0.0
58,DEBIT,Cheque,VELO_BURST_001,Aarav Sinha,4083121646,Rajesh Sinha,15466.59,2024-02-19,02:53:37,618133.69,500000.0,Personal Loan,0.0
80,DEBIT,Bank Transfer,VELO_BURST_001,Aarav Sinha,4573746499,Ravi Nair,139854.19,2024-02-19,14:00:00,231879.88,500000.0,Personal Loan,0.0
81,DEBIT,UPI,VELO_BURST_001,Aarav Sinha,4083121646,Rajesh Sinha,126539.58,2024-02-19,14:03:00,105340.3,500000.0,Personal Loan,0.0
82,DEBIT,RTGS,VELO_BURST_001,Aarav Sinha,4083121646,Rajesh Sinha,135541.11,2024-02-19,14:05:00,-30200.81,500000.0,Personal Loan,0.0
83,DEBIT,UPI,VELO_BURST_001,Aarav Sinha,7944675764,Kavya Mishra,71687.38,2024-02-19,14:07:00,-101888.19,500000.0,Personal Loan,0.0
84,DEBIT,Bank Transfer,VELO_BURST_001,Aarav Sinha,4083121646,Rajesh Sinha,94187.54,2024-02-19,14:08:00,-196075.73,500000.0,Personal Loan,0.0
85,DEBIT,RTGS,VELO_BURST_001,Aarav Sinha,4573746499,Ravi Nair,77811.29,2024-02-19,14:10:00,-273887.02,500000.0,Personal Loan,0.0
86,DEBIT,RTGS,VELO_BURST_001,Aarav Sinha,9119337640,Ritika Reddy,64825.62,2024-02-19,14:12:00,-338712.64,500000.0,Personal Loan,0.0
87,DEBIT,NEFT,VELO_BURST_001,Aarav Sinha,3744126400,Kiran Iyer,135382.93,2024-02-19,14:15:00,-474095.57,500000.0,Personal Loan,0.0
9,CREDIT,UPI,3744126400,Kiran Iyer,VELO_BURST_001,Aarav Sinha,23753.66,2024-02-20,16:28:17,673241.38,500000.0,Personal Loan,0.0
37,CREDIT,Cheque,4083121646,Rajesh Sinha,VELO_BURST_001,Aarav Sinha,10198.15,2024-02-22,21:13:35,774249.3,500000.0,Personal Loan,0.0
76,DEBIT,UPI,VELO_BURST_001,Aarav Sinha,8111389362,Tanvi Agarwal,47881.86,2024-02-22,20:02:14,313535.1,500000.0,Personal Loan,0.0
65,CREDIT,Cheque,9119337640,Ritika Reddy,VELO_BURST_001,Aarav Sinha,49811.05,2024-02-24,22:15:51,581513.61,500000.0,Personal Loan,0.0
72,DEBIT,IMPS,VELO_BURST_001,Aarav Sinha,8111389362,Tanvi Agarwal,35955.97,2024-02-24,15:03:26,443976.64,500000.0,Personal Loan,0.0
98,DEBIT,NEFT,VELO_BURST_001,Aarav Sinha,4573746499,Ravi Nair,12329.03,2024-02-24,04:18:13,-446523.91,500000.0,Personal Loan,0.0
100,DEBIT,RTGS,VELO_BURST_001,Aarav Sinha,4573746499,Ravi Nair,14017.9,2024-02-25,23:19:27,-492614.38,500000.0,Personal Loan,0.0
55,DEBIT,UPI,VELO_BURST_001,Aarav Sinha,8825544304,Priya Agarwal,20483.87,2024-02-26,11:02:40,587461.27,500000.0,Personal Loan,0.0
49,CREDIT,Bank Transfer,4573746499,Ravi Nair,VELO_BURST_001,Aarav Sinha,32201.63,2024-02-27,08:45:04,558093.48,500000.0,Personal Loan,0.0
78,CREDIT,IMPS,4083121646,Rajesh Sinha,VELO_BURST_001,Aarav Sinha,12374.27,2024-02-27,11:12:58,313998.04,500000.0,Personal Loan,0.0
64,CREDIT,NEFT,4573746499,Ravi Nair,VELO_BURST_001,Aarav Sinha,52272.94,2024-02-28,14:44:26,531702.56,500000.0,Personal Loan,0.0
52,CREDIT,Cheque,8111389362,Tanvi Agarwal,VELO_BURST_001,Aarav Sinha,54121.3,2024-02-29,05:17:05,543886.18,500000.0,Personal Loan,0.0
50,DEBIT,RTGS,VELO_BURST_001,Aarav Sinha,9119337640,Ritika Reddy,58291.16,2024-03-02,19:44:31,499802.32,500000.0,Personal Loan,0.0
26,DEBIT,RTGS,VELO_BURST_001,Aarav Sinha,8111389362,Tanvi Agarwal,42476.49,2024-03-06,20:21:48,617056.46,500000.0,Personal Loan,0.0
42,CREDIT,Bank Transfer,9119337640,Ritika Reddy,VELO_BURST_001,Aarav Sinha,7777.02,2024-03-07,21:44:23,699263.59,500000.0,Personal Loan,0.0
44,DEBIT,Cheque,VELO_BURST_001,Aarav Sinha,9119337640,Ritika Reddy,32706.09,2024-03-07,14:19:23,653022.74,500000.0,Personal Loan,0.0
93,DEBIT,Cheque,VELO_BURST_001,Aarav Sinha,4083121646,Rajesh Sinha,9152.99,2024-03-08,20:48:10,-471521.59,500000.0,Personal Loan,0.0
66,CREDIT,UPI,4083121646,Rajesh Sinha,VELO_BURST_001,Aarav Sinha,33097.24,2024-03-11,03:58:48,614610.85,500000.0,Personal Loan,0.0
67,DEBIT,UPI,VELO_BURST_001,Aarav Sinha,4573746499,Ravi Nair,52910.48,2024-03-11,19:34:59,561700.37,500000.0,Personal Loan,0.0
